Iteration,Objective_Value
1,0.6198641481852656
2,0.665778022248497
3,0.6339946629735005
4,0.5381948907172824
5,0.7980489581846235
6,0.7597182927148283
7,0.6923272582228941
8,0.7239474548707281
9,0.608253203139906
10,0.6582189977831392
11,0.6979134866186784
12,0.6937936358040542
13,0.36158988455929675
14,0.6436438297880819
15,0.6301191285387919
16,0.703063303616732
17,0.6529342845347634
18,0.5719687063811435
19,0.7736621239584692
20,0.8186146834044976
21,0.603969369033102
22,0.5840008396636683
23,0.7002654382794304
24,0.5870423119027616
25,0.5639239449897496
26,0.6387336447048173
27,0.46665627380104824
28,0.5130263831246537
29,0.6861348432642971
30,0.476293526591058
31,0.7034142605390752
32,0.6779967895254999
33,0.7268027539943672
34,0.4619450779463765
35,0.6811198277526705
36,0.7079042104369374
37,0.7061402195164918
38,0.6969502712354873
39,0.768845377338057
40,0.6430490172675669
41,0.7597511806820524
42,0.27159245295649737
43,0.7123503086062363
44,0.5558946479222591
45,0.6559557300705919
46,0.6744227970276669
47,0.55645877348104
48,0.6598082322462534
49,0.5287678504945665
50,0.6766075491946025
51,0.5686466144639117
52,0.5775836875834898
53,0.6185678851514161
54,0.6736624592411473
55,0.682132741835624
56,0.7001178868315407
57,0.6409622310065193
58,0.6285944561644838
59,0.6925459704070851
60,0.7085400424419915
61,0.4661506073154812
62,0.6502662431286479
63,0.6459262407647421
64,0.6334533612609958
65,0.5393222807815478
66,0.6897142768545805
67,0.6394986447218494
68,0.5099792376225573
69,0.651305222616792
70,0.7803850302374271
71,0.7536008004241835
72,0.730425652064824
73,0.33756095644196793
74,0.6590403091541528
75,0.5393826118402631
76,0.7104622278085393
77,0.6943404787254448
78,0.6672144402633495
79,0.5583537659723482
80,0.4819834465448475
81,0.3760278946779871
82,0.7774608632049526
83,0.6679041422016522
84,0.5662643690579006
85,0.6892995599013645
86,0.6353074222646182
87,0.6397066964662055
88,0.4396942650114388
89,0.6926367749002211
90,0.6406449025471112
91,0.7444865687539512
92,0.6208151365880067
93,0.517993851887793
94,0.6330622102055665
95,0.6822823466551923
96,0.5815540602792773
97,0.7655140156408619
98,0.6277470136105845
99,0.537729512568375
100,0.5818520131397867
